ObjectId(58f872bdcf14c629743c62b4),平安银行股份有限公司,广东省深圳市罗湖区深南东路5047号
ObjectId(58f872becf14c629743c62b5),深圳能源集团股份有限公司,广东省深圳市福田区深南中路2068号华能大厦5，33，35-36，38-41层
ObjectId(58f872becf14c629743c62b6),飞亚达(集团)股份有限公司,广东省深圳市南山区高新南一道飞亚达科技大厦
ObjectId(58f872becf14c629743c62b7),深圳经济特区房地产(集团)股份有限公司,广东省深圳市人民南路3005号深房广场47楼
ObjectId(58f872becf14c629743c62b8),深圳市桑达实业股份有限公司,广东省深圳市南山区科技园科技路1号桑达科技大厦15-17楼
ObjectId(58f872becf14c629743c62b9),国药集团一致药业股份有限公司,广东省深圳市福田区八卦四路15号一致药业大楼
ObjectId(58f872becf14c629743c62ba),深圳新都酒店股份有限公司,广东省深圳市春风路一号
ObjectId(58f872becf14c629743c62bb),富奥汽车零部件股份有限公司,吉林省长春市汽车经济技术开发区东风南街777号
ObjectId(58f872becf14c629743c62bc),中粮地产(集团)股份有限公司,广东省深圳市宝安区新城二区湖滨路
ObjectId(58f872becf14c629743c62bd),神州数码集团股份有限公司,广东省深圳市南山区粤海街道科发路8号金融基地1栋11楼E1
ObjectId(58f872becf14c629743c62be),深圳市特力(集团)股份有限公司,广东省深圳市深南中路中核大厦
ObjectId(58f872becf14c629743c62bf),宜华健康医疗股份有限公司,广东省汕头市澄海区文冠路北侧
ObjectId(58f872becf14c629743c62c0),深圳市天地(集团)股份有限公司,广东省深圳市高新技术产业园北区朗山路东物商业大楼10楼
ObjectId(58f872becf14c629743c62c1),深圳赤湾港航股份有限公司,广东省深圳市赤湾
ObjectId(58f872becf14c629743c62c2),深圳长城开发科技股份有限公司,广东省深圳市福田区彩田路7006号
ObjectId(58f872becf14c629743c62c3),深圳中恒华发股份有限公司,广东省深圳市福田区华发北路411幢
ObjectId(58f872becf14c629743c62c4),深圳市深宝实业股份有限公司,广东省深圳市南山区粤海街道学府路科技园南区软件产业基地4栋B座8层
ObjectId(58f872becf14c629743c62c5),广西柳工机械股份有限公司,广西壮族自治区柳州市柳太路1号
ObjectId(58f872becf14c629743c62c6),成都市兴蓉环境股份有限公司,四川省成都市青羊区苏坡乡万家湾村
ObjectId(58f872becf14c629743c62c7),东北制药集团股份有限公司,辽宁省沈阳经济技术开发区昆明湖街8号
ObjectId(58f872becf14c629743c62c8),宝塔实业股份有限公司,宁夏回族自治区银川市西夏区北京西路630号
ObjectId(58f872becf14c629743c62c9),四川大通燃气开发股份有限公司,四川省成都市建设路55号
ObjectId(58f872becf14c629743c62ca),中福海峡（平潭）发展股份有限公司,福建省福州市平潭综合实验区金井湾片区商务营运中心
ObjectId(58f872becf14c629743c62cb),中节能太阳能股份有限公司,重庆市渝中区解放西路1号望江公寓5楼
ObjectId(58f872becf14c629743c62cc),启迪古汉集团股份有限公司,湖南省衡阳市高新区杨柳路33号
ObjectId(58f872becf14c629743c62cd),安徽古井贡酒股份有限公司,安徽省亳州市古井镇
